! time                    int_diameter            frank_diameter          perfect_diameter        vac_diameter            faulted_diameter        void_diameter           
  1.400000000000000E+002  1.764368462909470E-001  7.366283695272874E-001  4.752607495131733E-001  1.406913128198713E-001  7.684864846942264E-001  2.556677165742111E-001
  1.450000000000000E+002  1.764312411937040E-001  7.376367002773935E-001  4.766283414567226E-001  1.406913992588597E-001  7.707231795234942E-001  2.556680466897649E-001
  1.500000000000000E+002  1.764262425086240E-001  7.385945266292435E-001  4.779717492745105E-001  1.406914861006277E-001  7.729010443816264E-001  2.556683821401545E-001
  1.550000000000000E+002  1.764217827566152E-001  7.395060768550104E-001  4.792915776929331E-001  1.406915732632331E-001  7.750242547585566E-001  2.556687222633400E-001
  1.600000000000000E+002  1.764178032473037E-001  7.403751070468134E-001  4.805884278452383E-001  1.406916606749086E-001  7.770965384518110E-001  2.556690664748362E-001
  1.650000000000000E+002  1.764142527601588E-001  7.412049657784410E-001  4.818628935281640E-001  1.406917482726794E-001  7.791212363853619E-001  2.556694142573137E-001
  1.700000000000000E+002  1.764110864485532E-001  7.419986483931651E-001  4.831155584492373E-001  1.406918360011919E-001  7.811013536404674E-001  2.556697651517900E-001
  1.750000000000000E+002  1.764082649251025E-001  7.427588428110400E-001  4.843469942367687E-001  1.406919238117195E-001  7.830396025018262E-001  2.556701187501468E-001
  1.800000000000000E+002  1.764057534951128E-001  7.434879683639773E-001  4.855577590379928E-001  1.406920116613133E-001  7.849384389500547E-001  2.556704746887388E-001
  1.900000000000000E+002  1.764015751363367E-001  7.448657828319978E-001  4.879181279505223E-001  1.406921867660683E-001  7.886532897848084E-001  2.556711899054628E-001
  2.000000000000000E+002  1.763982881789048E-001  7.461426789611727E-001  4.902024341910922E-001  1.406923616887671E-001  7.922273241619102E-001  2.556719112653163E-001
  2.100000000000000E+002  1.763957479785382E-001  7.473310969989656E-001  4.924145555336258E-001  1.406925362032438E-001  7.956761922703204E-001  2.556726368664382E-001
  2.200000000000000E+002  1.763938264748265E-001  7.484414829943430E-001  4.945581382179362E-001  1.406927101491198E-001  7.990124206593137E-001  2.556733652457402E-001
  2.300000000000000E+002  1.763924198674462E-001  7.494826529326797E-001  4.966365999444688E-001  1.406928834021909E-001  8.022463876192161E-001  2.556740952210068E-001
  2.400000000000000E+002  1.763914436498578E-001  7.504620957585663E-001  4.986531385967396E-001  1.406930558660497E-001  8.053868663230089E-001  2.556748258295848E-001
  2.500000000000000E+002  1.763908285901710E-001  7.513862146835880E-001  5.006107445872948E-001  1.406932274661514E-001  8.084413761475200E-001  2.556755562840564E-001
  2.600000000000000E+002  1.763905176216755E-001  7.522605186503455E-001  5.025122143137535E-001  1.406933981453441E-001  8.114164306141738E-001  2.556762859384744E-001
  2.700000000000000E+002  1.763904634340999E-001  7.530897749359312E-001  5.043601636717555E-001  1.406935678604128E-001  8.143177215033767E-001  2.556770142620338E-001
  2.800000000000000E+002  1.763906265955668E-001  7.538781315810920E-001  5.061570411304759E-001  1.406937365793695E-001  8.171502600469854E-001  2.556777408182528E-001
