 time    0.0000000000000000     
 time    10.000000000000000     
           4   4  1.360877179259604E-001
           3   4  2.211672093050697E-001
           2   4  4.440933100387710E-001
           1   4  1.468871151370523E+000
 time    15.000000000000000     
           4   4  2.041315768889406E-001
           3   4  3.317508139576045E-001
           2   4  6.661399650581565E-001
           1   4  2.203306727055785E+000
 time    20.000000000000000     
           4   4  2.721754358519208E-001
           3   4  4.423344186101394E-001
           2   4  8.881866200775420E-001
           1   4  2.937742302741047E+000
 time    30.000000000000000     
           4   4  4.082631537778812E-001
           3   4  6.635016279152091E-001
           2   4  1.332279930116313E+000
           1   4  4.406613454111571E+000
 time    40.000000000000000     
           4   4  5.443508717038417E-001
           3   4  8.846688372202788E-001
           2   4  1.776373240155084E+000
           1   4  5.875484605482094E+000
 time    60.000000000000000     
           4   4  8.165263075557625E-001
           3   4  1.327003255830418E+000
           2   4  2.664559860232626E+000
           1   4  8.813226908223141E+000
 time    80.000000000000000     
           4   4  1.088701743407683E+000
           3   4  1.769337674440558E+000
           2   4  3.552746480310168E+000
           1   4  1.175096921096419E+001
 time    100.00000000000000     
           4   4  1.360877179259604E+000
           3   4  2.211672093050697E+000
           2   4  4.440933100387710E+000
           1   4  1.468871151370524E+001
 time    150.00000000000000     
           4   4  2.041315768889406E+000
           3   4  3.317508139576045E+000
           2   4  6.661399650581566E+000
           1   4  2.203306727055785E+001
 time    200.00000000000000     
           4   4  2.721754358519208E+000
           3   4  4.423344186101393E+000
           2   4  8.881866200775420E+000
           1   4  2.937742302741047E+001
 time    300.00000000000000     
           4   4  4.082631537778813E+000
           3   4  6.635016279152090E+000
           2   4  1.332279930116313E+001
           1   4  4.406613454111571E+001
 time    400.00000000000000     
           4   4  5.443508717038417E+000
           3   4  8.846688372202786E+000
           2   4  1.776373240155084E+001
           1   4  5.875484605482094E+001
 time    600.00000000000000     
           4   4  8.165263075557625E+000
           3   4  1.327003255830418E+001
           2   4  2.664559860232626E+001
           1   4  8.813226908223142E+001
 time    800.00000000000000     
           4   4  1.088701743407683E+001
           3   4  1.769337674440557E+001
           2   4  3.552746480310168E+001
           1   4  1.175096921096419E+002
 time    1000.0000000000000     
           4   4  1.360877179259604E+001
           3   4  2.211672093050697E+001
           2   4  4.440933100387711E+001
           1   4  1.468871151370523E+002
 time    1200.0000000000000     
           4   4  1.633052615111525E+001
           3   4  2.654006511660836E+001
           2   4  5.329119720465253E+001
           1   4  1.762645381644628E+002
 time    1400.0000000000000     
           4   4  1.905228050963446E+001
           3   4  3.096340930270976E+001
           2   4  6.217306340542792E+001
           1   4  2.056419611918733E+002
 time    1600.0000000000000     
           4   4  2.177403486815367E+001
           3   4  3.538675348881115E+001
           2   4  7.105492960620336E+001
           1   4  2.350193842192838E+002
 time    1800.0000000000000     
           4   4  2.449578922667288E+001
           3   4  3.981009767491254E+001
           2   4  7.993679580697878E+001
           1   4  2.643968072466943E+002
 time    2000.0000000000000     
           4   4  2.721754358519209E+001
           3   4  4.423344186101394E+001
           2   4  8.881866200775418E+001
           1   4  2.937742302741048E+002
 time    2200.0000000000000     
           4   4  2.993929794371130E+001
           3   4  4.865678604711533E+001
           2   4  9.770052820852960E+001
           1   4  3.231516533015152E+002
 time    2400.0000000000000     
           4   4  3.266105230223051E+001
           3   4  5.308013023321672E+001
           2   4  1.065823944093051E+002
           1   4  3.525290763289257E+002
 time    2600.0000000000000     
           4   4  3.538280666074971E+001
           3   4  5.750347441931811E+001
           2   4  1.154642606100804E+002
           1   4  3.819064993563362E+002
 time    2800.0000000000000     
           4   4  3.810456101926891E+001
           3   4  6.192681860541951E+001
           2   4  1.243461268108558E+002
           1   4  4.112839223837466E+002
 time    3000.0000000000000     
           4   4  4.082631537778813E+001
           3   4  6.635016279152090E+001
           2   4  1.332279930116313E+002
           1   4  4.406613454111571E+002
 time    3200.0000000000000     
           4   4  4.354806973630733E+001
           3   4  7.077350697762230E+001
           2   4  1.421098592124067E+002
           1   4  4.700387684385676E+002
 time    3400.0000000000000     
           4   4  4.626982409482654E+001
           3   4  7.519685116372369E+001
           2   4  1.509917254131821E+002
           1   4  4.994161914659781E+002
 time    3600.0000000000000     
           4   4  4.899157845334575E+001
           3   4  7.962019534982510E+001
           2   4  1.598735916139575E+002
           1   4  5.287936144933885E+002
 time    3800.0000000000000     
           4   4  5.171333281186497E+001
           3   4  8.404353953592648E+001
           2   4  1.687554578147330E+002
           1   4  5.581710375207990E+002
 time    4000.0000000000000     
           4   4  5.443508717038417E+001
           3   4  8.846688372202789E+001
           2   4  1.776373240155084E+002
           1   4  5.875484605482095E+002
 time    4200.0000000000000     
           4   4  5.715684152890338E+001
           3   4  9.289022790812928E+001
           2   4  1.865191902162838E+002
           1   4  6.169258835756200E+002
 time    4400.0000000000000     
           4   4  5.987859588742260E+001
           3   4  9.731357209423066E+001
           2   4  1.954010564170592E+002
           1   4  6.463033066030304E+002
 time    4600.0000000000000     
           4   4  6.260035024594179E+001
           3   4  1.017369162803321E+002
           2   4  2.042829226178347E+002
           1   4  6.756807296304410E+002
 time    4800.0000000000000     
           4   4  6.532210460446102E+001
           3   4  1.061602604664335E+002
           2   4  2.131647888186101E+002
           1   4  7.050581526578515E+002
 time    5000.0000000000000     
           4   4  6.804385896298021E+001
           3   4  1.105836046525348E+002
           2   4  2.220466550193855E+002
           1   4  7.344355756852617E+002
 time    5200.0000000000000     
           4   4  7.076561332149943E+001
           3   4  1.150069488386362E+002
           2   4  2.309285212201609E+002
           1   4  7.638129987126724E+002
 time    5400.0000000000000     
           4   4  7.348736768001864E+001
           3   4  1.194302930247377E+002
           2   4  2.398103874209363E+002
           1   4  7.931904217400828E+002
 time    5600.0000000000000     
           4   4  7.620912203853784E+001
           3   4  1.238536372108390E+002
           2   4  2.486922536217118E+002
           1   4  8.225678447674933E+002
 time    5800.0000000000000     
           4   4  7.893087639705706E+001
           3   4  1.282769813969404E+002
           2   4  2.575741198224872E+002
           1   4  8.519452677949039E+002
 time    6000.0000000000000     
           4   4  8.165263075557627E+001
           3   4  1.327003255830418E+002
           2   4  2.664559860232627E+002
           1   4  8.813226908223141E+002
 time    6200.0000000000000     
           4   4  8.437438511409549E+001
           3   4  1.371236697691432E+002
           2   4  2.753378522240380E+002
           1   4  9.107001138497246E+002
 time    6400.0000000000000     
           4   4  8.709613947261468E+001
           3   4  1.415470139552446E+002
           2   4  2.842197184248135E+002
           1   4  9.400775368771352E+002
 time    6600.0000000000000     
           4   4  8.981789383113389E+001
           3   4  1.459703581413460E+002
           2   4  2.931015846255889E+002
           1   4  9.694549599045457E+002
 time    6800.0000000000000     
           4   4  9.253964818965311E+001
           3   4  1.503937023274474E+002
           2   4  3.019834508263643E+002
           1   4  9.988323829319562E+002
 time    7000.0000000000000     
           4   4  9.526140254817230E+001
           3   4  1.548170465135487E+002
           2   4  3.108653170271397E+002
           1   4  1.028209805959367E+003
 time    7200.0000000000000     
           4   4  9.798315690669152E+001
           3   4  1.592403906996502E+002
           2   4  3.197471832279151E+002
           1   4  1.057587228986777E+003
 time    7400.0000000000000     
           4   4  1.007049112652107E+002
           3   4  1.636637348857516E+002
           2   4  3.286290494286906E+002
           1   4  1.086964652014188E+003
 time    7600.0000000000000     
           4   4  1.034266656237299E+002
           3   4  1.680870790718529E+002
           2   4  3.375109156294660E+002
           1   4  1.116342075041598E+003
 time    7800.0000000000000     
           4   4  1.061484199822491E+002
           3   4  1.725104232579544E+002
           2   4  3.463927818302414E+002
           1   4  1.145719498069009E+003
 time    8000.0000000000000     
           4   4  1.088701743407684E+002
           3   4  1.769337674440557E+002
           2   4  3.552746480310169E+002
           1   4  1.175096921096419E+003
 time    8200.0000000000000     
           4   4  1.115919286992875E+002
           3   4  1.813571116301571E+002
           2   4  3.641565142317922E+002
           1   4  1.204474344123829E+003
 time    8400.0000000000000     
           4   4  1.143136830578068E+002
           3   4  1.857804558162586E+002
           2   4  3.730383804325677E+002
           1   4  1.233851767151240E+003
