! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  3.400000000000000E+002  1.086717551078337E-007  3.423614635370392E-001  6.597563247992522E-008  1.632986573612035E-002  2.757285046517624E-001  1.197132026713657E-011
  3.500000000000000E+002  1.063513215899902E-007  3.505636535206230E-001  6.463830563504295E-008  1.598699134245251E-002  2.809546774043811E-001  1.174286283967911E-011
  3.600000000000000E+002  1.041464810441346E-007  3.587135638270754E-001  6.336710627095944E-008  1.566112241594556E-002  2.861043158104417E-001  1.152529604063383E-011
  3.700000000000000E+002  1.020485451506388E-007  3.668125407801482E-001  6.215704364730858E-008  1.535098063614812E-002  2.911799199111342E-001  1.131781741790778E-011
  3.800000000000000E+002  1.000496816299404E-007  3.748618710215084E-001  6.100362278772590E-008  1.505541393884469E-002  2.961838655835320E-001  1.111970289293809E-011
  3.900000000000000E+002  9.814281121774595E-008  3.828627852649156E-001  5.990278417953053E-008  1.477338126244538E-002  3.011184126150633E-001  1.093029735726831E-011
  4.000000000000000E+002  9.632151915541541E-008  3.908164617375511E-001  5.885085207529746E-008  1.450393945392611E-002  3.059857121346418E-001  1.074900659426086E-011
  4.200000000000000E+002  9.292449167483333E-008  4.065423864530772E-001  5.688823139731490E-008  1.400114055551547E-002  3.154704511859804E-001  1.040956504066256E-011
  4.400000000000000E+002  8.980378307942454E-008  4.220951193868532E-001  5.508335347735592E-008  1.353902584983787E-002  3.247170085543840E-001  1.009658343525386E-011
  4.600000000000000E+002  8.692600811502955E-008  4.374822042749549E-001  5.341714996578428E-008  1.311268269630176E-002  3.337375522254539E-001  9.806877358581521E-012
  4.800000000000000E+002  8.426295957381703E-008  4.527106431033431E-001  5.187352702073876E-008  1.271795999173353E-002  3.425437336407502E-001  9.537787101319643E-012
  5.000000000000000E+002  8.179066263881446E-008  4.677869421843665E-001  5.043881455888338E-008  1.235133232063638E-002  3.511464683088355E-001  9.287059140021525E-012
  5.200000000000000E+002  7.948861418857646E-008  4.827171576469140E-001  4.910132787360281E-008  1.200978577687870E-002  3.595559134005035E-001  9.052766106408096E-012
  5.400000000000000E+002  7.733917706104821E-008  4.975069372052007E-001  4.785101943151620E-008  1.169072809963255E-002  3.677815013900276E-001  8.833248018853494E-012
  5.600000000000000E+002  7.532709567440742E-008  5.121615575708247E-001  4.667920093338653E-008  1.139191713699271E-002  3.758319902340388E-001  8.627066594191549E-012
  5.800000000000000E+002  7.343910621449094E-008  5.266859577463526E-001  4.557831996721767E-008  1.111140340223048E-002  3.837155168967861E-001  8.432968891393927E-012
