! time                    frank_diameter          perfect_diameter        faulted_diameter        void_diameter           
  1.750000000000001E+001  6.382597101927229E-001  4.380606080666334E-001  6.413930132860821E-001  2.556693483878650E-001
  1.800000000000001E+001  6.400239414946876E-001  4.380503337912334E-001  6.431787845234185E-001  2.556691825476494E-001
  1.900000000000001E+001  6.434082986293971E-001  4.380602005457783E-001  6.466252672432879E-001  2.556688670451548E-001
  2.000000000000001E+001  6.465965669761756E-001  4.381056738500276E-001  6.498889284704455E-001  2.556685697869281E-001
  2.100000000000001E+001  6.496068831189910E-001  4.381832504522899E-001  6.529869965228753E-001  2.556682898659971E-001
  2.200000000000001E+001  6.524550246393620E-001  4.382895815040574E-001  6.559345739280746E-001  2.556680261749555E-001
  2.300000000000001E+001  6.551548342069095E-001  4.384216690678253E-001  6.587448062651021E-001  2.556677776660272E-001
  2.400000000000001E+001  6.577185212107682E-001  4.385768559341724E-001  6.614291966740637E-001  2.556675433822212E-001
  2.500000000000001E+001  6.601569063925891E-001  4.387527864371585E-001  6.639978759286461E-001  2.556673224519145E-001
  2.600000000000001E+001  6.624796234076678E-001  4.389473679359547E-001  6.664598186039065E-001  2.556671140791902E-001
  2.700000000000001E+001  6.646952854944506E-001  4.391587371242958E-001  6.688230165367066E-001  2.556669175349198E-001
  2.800000000000001E+001  6.668116239351465E-001  4.393852311050512E-001  6.710946196965872E-001  2.556667321491071E-001
  2.900000000000001E+001  6.688356037419639E-001  4.396253625837399E-001  6.732810518968754E-001  2.556665573043554E-001
  3.000000000000001E+001  6.707735208977685E-001  4.398777985458555E-001  6.753881067667017E-001  2.556663924302625E-001
  3.100000000000001E+001  6.726310845758452E-001  4.401413418749827E-001  6.774210280208453E-001  2.556662369985901E-001
  3.200000000000001E+001  6.744134870516586E-001  4.404149154585631E-001  6.793845770946976E-001  2.556660905190747E-001
  3.300000000000001E+001  6.761254634659327E-001  4.406975484043991E-001  6.812830905129726E-001  2.556659525357722E-001
  3.400000000000001E+001  6.777713431681816E-001  4.409883640539216E-001  6.831205288453096E-001  2.556658226238587E-001
  3.500000000000001E+001  6.793550940342523E-001  4.412865695299064E-001  6.849005187147386E-001  2.556657003868142E-001
  3.600000000000001E+001  6.808803608882024E-001  4.415914465987677E-001  6.866263890297030E-001  2.556655854539344E-001
  3.800000000000001E+001  6.837766844623616E-001  4.422182127515208E-001  6.899452269197348E-001  2.556653766130916E-001
  4.000000000000001E+001  6.864748180182254E-001  4.428641368951761E-001  6.930776682321641E-001  2.556651927939232E-001
  4.200000000000001E+001  6.889953461170044E-001  4.435257535157687E-001  6.960432413680390E-001  2.556650319806100E-001
  4.400000000000001E+001  6.913560819984257E-001  4.441999930043914E-001  6.988587021339044E-001  2.556648922154293E-001
