! time                    int_density             frank_density           perfect_density         vac_density             faulted_density         void_density            
  2.600000000000001E+001  5.939078883913099E-007  4.866731613075891E-002  4.507653019561348E-007  9.053821448226146E-002  3.814010656343092E-002  5.783121817973608E-011
  2.700000000000001E+001  5.839326673601151E-007  5.005031485629749E-002  4.416724810490295E-007  8.891438068789742E-002  3.923571603462725E-002  5.686818945183106E-011
  2.800000000000001E+001  5.742875463067763E-007  5.142467107872595E-002  4.329924350222599E-007  8.734950166223000E-002  4.032331988392403E-002  5.593835119102768E-011
  2.900000000000001E+001  5.649563632472486E-007  5.279081458129082E-002  4.246964110333081E-007  8.584039151438397E-002  4.140331941624984E-002  5.504004062875933E-011
  3.000000000000001E+001  5.559240638488914E-007  5.414913828752015E-002  4.167584152116505E-007  8.438410018177409E-002  4.247607716144895E-002  5.417170517209133E-011
  3.100000000000001E+001  5.471765974102968E-007  5.550000236168064E-002  4.091548702301062E-007  8.297789051027882E-002  4.354192160540052E-002  5.333189314744668E-011
  3.200000000000001E+001  5.387008256260392E-007  5.684373775517979E-002  4.018643251347290E-007  8.161921813866474E-002  4.460115124363555E-002  5.251924550332902E-011
  3.300000000000001E+001  5.304844422056439E-007  5.818064928724460E-002  3.948672080423102E-007  8.030571377473861E-002  4.565403806734686E-002  5.173248835013461E-011
  3.400000000000001E+001  5.225159017557529E-007  5.951101833187231E-002  3.881456142337685E-007  7.903516752071019E-002  4.670083057225719E-002  5.097042623549806E-011
  3.600000000000001E+001  5.073089676425298E-007  6.214674046518803E-002  3.754943831718603E-007  7.662165863419572E-002  4.877189337281058E-002  4.951956974495939E-011
  3.800000000000001E+001  4.929669970068766E-007  6.475965021569481E-002  3.637594685468821E-007  7.435372138267540E-002  5.082175925221741E-002  4.815318752896691E-011
  4.000000000000001E+001  4.794190802135316E-007  6.735133943222944E-002  3.528421903062444E-007  7.222051312561782E-002  5.285163337107386E-002  4.686530416573951E-011
  4.200000000000001E+001  4.666029627392698E-007  6.992316476200530E-002  3.426585423186840E-007  7.021064620177207E-002  5.486258264856911E-002  4.564951652443315E-011
  4.400000000000001E+001  4.544627380226144E-007  7.247631295601549E-002  3.331358972559579E-007  6.831388304440002E-002  5.685554595861907E-002  4.450004875881875E-011
  4.600000000000001E+001  4.429479962620904E-007  7.501183160750624E-002  3.242110611645736E-007  6.652108219427037E-002  5.883135095387403E-002  4.341172105867477E-011
  4.800000000000001E+001  4.320131535153866E-007  7.753065133199388E-002  3.158287559211009E-007  6.482405821828183E-002  6.079073035066203E-002  4.237987370179949E-011
  5.000000000000001E+001  4.216168803271501E-007  8.003360334019841E-002  3.079403941765106E-007  6.321545845590339E-002  6.273433612134062E-002  4.140030215321578E-011
  5.200000000000001E+001  4.117216121263415E-007  8.252143373970283E-002  3.005030800139210E-007  6.168865866964513E-002  6.466275148559152E-002  4.046920245084447E-011
  5.400000000000001E+001  4.022931279010851E-007  8.499481532934626E-002  2.934787871245445E-007  6.023767438853320E-002  6.657650094398206E-002  3.958312464828579E-011
  5.600000000000001E+001  3.933001859106693E-007  8.745435741429750E-002  2.868336779995556E-007  5.885708516378033E-002  6.847605865651404E-002  3.873893277246688E-011
  5.800000000000001E+001  3.847142072369032E-007  8.990061403295858E-002  2.805375361311396E-007  5.754196952373699E-002  7.036185544753056E-002  3.793377017404345E-011
  6.000000000000001E+001  3.765089996796012E-007  9.233409089532596E-002  2.745632895180109E-007  5.628784885601050E-002  7.223428467769263E-002  3.716502940222574E-011
  6.200000000000001E+001  3.686605158699139E-007  9.475525126690611E-002  2.688866084964586E-007  5.509063878415827E-002  7.409370718259584E-002  3.643032590868138E-011
  6.400000000000000E+001  3.611466405663389E-007  9.716452098357269E-002  2.634855644978224E-007  5.394660687139374E-002  7.594045544140263E-002  3.572747501284963E-011
  6.600000000000000E+001  3.539470029688846E-007  9.956229274568655E-002  2.583403390716087E-007  5.285233569296700E-002  7.777483710863509E-002  3.505447165957429E-011
  6.800000000000000E+001  3.470428105848645E-007  1.019489298111352E-001  2.534329746274796E-007  5.180469048553452E-002  7.959713801757827E-002  3.440947257805003E-011
  7.000000000000000E+001  3.404167017428951E-007  1.043247691845132E-001  2.487471599956074E-007  5.080079071565119E-002  8.140762474375328E-002  3.379078051397692E-011
  7.500000000000000E+001  3.250123995472129E-007  1.101994623604332E-001  2.379502469254340E-007  4.847338508297978E-002  8.586526662536442E-002  3.235322859437894E-011
  8.000000000000000E+001  3.110168372637037E-007  1.160143509233031E-001  2.282394887452900E-007  4.636439449418885E-002  9.025652453543770E-002  3.104792005797966E-011
  8.500000000000000E+001  2.982492987525994E-007  1.217730253104009E-001  2.194570409286575E-007  4.444567728377155E-002  9.458379944690817E-002  2.985793202709036E-011
  9.000000000000000E+001  2.865578833799218E-007  1.274785499308429E-001  2.114742970377286E-007  4.269281317251183E-002  9.884940648305555E-002  2.876861120659022E-011
