! time                    mass_defect             defect_inventory        sink_inventory          leak_inventory          edge_inventory          
  1.000000000000000E-002 -9.772889962567088E-015 -7.761497881991098E-004  8.199495858453327E-005  0.000000000000000E+000  6.941548296048036E-004
  1.200000000000000E-002 -9.773215223218834E-015 -9.976965851342262E-004  1.065471612701152E-004  0.000000000000000E+000  8.911494238543377E-004
  1.400000000000000E-002 -9.773215223218834E-015 -1.226380894957536E-003  1.320051034652697E-004  0.000000000000000E+000  1.094375791482493E-003
  1.600000000000000E-002 -9.772131021046349E-015 -1.460411864668758E-003  1.581439535947481E-004  0.000000000000000E+000  1.302267911064238E-003
  1.800000000000000E-002 -9.770179457135875E-015 -1.698500721809287E-003  1.848016187693435E-004  0.000000000000000E+000  1.513699103030173E-003
  2.000000000000000E-002 -9.768227893225401E-015 -1.939707263641966E-003  2.118596596237871E-004  0.000000000000000E+000  1.727847604008411E-003
  2.500000000000000E-002 -9.768661574094395E-015 -2.554229147338579E-003  2.809993478905335E-004  0.000000000000000E+000  2.273229799438276E-003
  3.000000000000001E-002 -9.769962616701378E-015 -3.175718481154989E-003  3.510592407785585E-004  0.000000000000000E+000  2.824659240366660E-003
  3.500000000000000E-002 -9.771697340177354E-015 -3.801481689043099E-003  4.216977356905627E-004  0.000000000000000E+000  3.379783953342765E-003
  4.000000000000000E-002 -9.771697340177354E-015 -4.429858610285014E-003  4.927039238352587E-004  0.000000000000000E+000  3.937154686439983E-003
  5.000000000000000E-002 -9.771697340177354E-015 -5.690768083943356E-003  6.353850783145634E-004  0.000000000000000E+000  5.055383005619021E-003
  6.000000000000000E-002 -9.775166787129308E-015 -6.952698913280670E-003  7.783351339351875E-004  0.000000000000000E+000  6.174363779335707E-003
  7.000000000000001E-002 -9.774299425391320E-015 -8.214035082902043E-003  9.213474034076419E-004  0.000000000000000E+000  7.292687679484627E-003
  8.000000000000000E-002 -9.771697340177354E-015 -9.473921132367750E-003  1.064312067381554E-003  0.000000000000000E+000  8.409609064976424E-003
  1.000000000000000E-001 -9.773432063653331E-015 -1.198534832903321E-002  1.349720099646293E-003  0.000000000000000E+000  1.063562822937715E-002
  1.200000000000000E-001 -9.783840404509192E-015 -1.448747494004832E-002  1.634478078535439E-003  0.000000000000000E+000  1.285299686150310E-002
  1.400000000000000E-001 -9.799452915792983E-015 -1.697995286812930E-002  1.918534260550120E-003  0.000000000000000E+000  1.506141860756939E-002
  1.600000000000000E-001 -9.818534874028728E-015 -1.946267457485156E-002  2.201867174004739E-003  0.000000000000000E+000  1.726080740083700E-002
  1.800000000000000E-001 -9.832412661836543E-015 -2.193563146650254E-002  2.484467648183498E-003  0.000000000000000E+000  1.945116381830921E-002
  2.000000000000000E-001 -9.856698790500218E-015 -2.439885762521013E-002  2.766331728811213E-003  0.000000000000000E+000  2.163252589638906E-002
  2.500000000000000E-001 -9.867107131356079E-015 -3.049704036044252E-002  3.466376516961316E-003  0.000000000000000E+000  2.703066384347133E-002
  3.000000000000000E-001 -9.880984919163893E-015 -3.653644581519003E-002  4.161816136073490E-003  0.000000000000000E+000  3.237462967910665E-002
  3.500000000000000E-001 -9.894862706971708E-015 -4.251822228220118E-002  4.852670059793947E-003  0.000000000000000E+000  3.766555222239734E-002
  4.000000000000000E-001 -9.901801600875615E-015 -4.844352136793001E-002  5.538963186172122E-003  0.000000000000000E+000  4.290455818174799E-002
  4.500000000000000E-001 -9.901801600875615E-015 -5.431347989647713E-002  6.220724119157790E-003  0.000000000000000E+000  4.809275577730943E-002
  4.999999999999999E-001 -9.929557176491244E-015 -6.012921033761678E-002  6.897984146010952E-003  0.000000000000000E+000  5.323122619159591E-002
  6.000000000000000E-001 -9.936496070395151E-015 -7.155192212620545E-002  8.234745897306483E-003  0.000000000000000E+000  6.331717622888904E-002
  7.000000000000000E-001 -9.964251646010780E-015 -8.277377664798397E-002  9.554041188441496E-003  0.000000000000000E+000  7.321973545953250E-002
  7.999999999999999E-001 -9.978129433818594E-015 -9.380216591486795E-002  1.085617110307094E-002  0.000000000000000E+000  8.294599481178704E-002
  8.999999999999999E-001 -1.000588500943422E-014 -1.046439991857488E-001  1.214144008382838E-002  0.000000000000000E+000  9.250255910191038E-002
  9.999999999999999E-001 -1.007527394847330E-014 -1.153057348339433E-001  1.341015260206988E-002  0.000000000000000E+000  1.018955822318633E-001
  1.100000000000000E+000 -1.000588500943422E-014 -1.257934139101412E-001  1.466261083606541E-002  0.000000000000000E+000  1.111308030740658E-001
  1.200000000000000E+000 -1.003364058504985E-014 -1.361126929400435E-001  1.589911302671564E-002  0.000000000000000E+000  1.202135799133178E-001
  1.400000000000000E+000 -1.010302952408892E-014 -1.561163171029669E-001  1.831041385454546E-002  0.000000000000000E+000  1.378059032484113E-001
