! time                    loop_density            loop_size               
  2.400000000000000E+002  2.029417660706075E-007  2.058752405290787E+000
  2.600000000000000E+002  2.545175083260989E-007  2.060924447891536E+000
  2.800000000000000E+002  3.125274563291550E-007  2.062933743669329E+000
  3.000000000000000E+002  3.771240073085454E-007  2.064805978655617E+000
  3.200000000000000E+002  4.484589236436744E-007  2.066560150533449E+000
  3.400000000000000E+002  5.266848772892417E-007  2.068210908766999E+000
  3.600000000000000E+002  6.119560838962407E-007  2.069769942741545E+000
  3.800000000000000E+002  7.044282971962004E-007  2.071246845612385E+000
  4.000000000000000E+002  8.042583641092252E-007  2.072649673323485E+000
  4.200000000000000E+002  9.116034929923421E-007  2.073985318441703E+000
  4.400000000000000E+002  1.026620351314657E-006  2.075259767389239E+000
  4.600000000000000E+002  1.149464080593349E-006  2.076478282063555E+000
  4.800000000000000E+002  1.280287293685911E-006  2.077645531210925E+000
  5.000000000000000E+002  1.419239101382529E-006  2.078765687712520E+000
  5.200000000000000E+002  1.566464200873839E-006  2.079842502325603E+000
  5.400000000000000E+002  1.722102047430539E-006  2.080879360894103E+000
  5.600000000000000E+002  1.886286121967040E-006  2.081879329770380E+000
  5.800000000000000E+002  2.059143300594968E-006  2.082845192695678E+000
  6.000000000000000E+002  2.240793327398236E-006  2.083779481387489E+000
  6.500000000000000E+002  2.752267994313234E-006  2.086211042254574E+000
  7.000000000000000E+002  3.322371759408811E-006  2.088438168167514E+000
  7.500000000000000E+002  3.952012392393098E-006  2.090500697434432E+000
  8.000000000000000E+002  4.641774091062998E-006  2.092427959787941E+000
  8.500000000000000E+002  5.391945239480554E-006  2.094242065377713E+000
  9.000000000000000E+002  6.202546447765645E-006  2.095960000538130E+000
  9.500000000000000E+002  7.073359699765685E-006  2.097595026713036E+000
  1.000000000000000E+003  8.003957437107262E-006  2.099157645779722E+000
  1.050000000000000E+003  8.993730599585721E-006  2.100656283312125E+000
  1.100000000000000E+003  1.004191498723055E-005  2.102097781983386E+000
  1.150000000000000E+003  1.114761558171892E-005  2.103487763682721E+000
  1.200000000000000E+003  1.230982865934605E-005  2.104830898880220E+000
  1.250000000000000E+003  1.352746166163633E-005  2.106131109314161E+000
  1.300000000000000E+003  1.479935087857147E-005  2.107391722052860E+000
  1.350000000000000E+003  1.612427705560777E-005  2.108615587664177E+000
  1.400000000000000E+003  1.750097906848177E-005  2.109805171613679E+000
  1.450000000000000E+003  1.892816582623985E-005  2.110962625510100E+000
  1.500000000000000E+003  2.040452656812146E-005  2.112089843054412E+000
  1.550000000000000E+003  2.192873971763733E-005  2.113188504290278E+000
  1.600000000000000E+003  2.349948045011942E-005  2.114260110844232E+000
  1.650000000000000E+003  2.511542712010184E-005  2.115306014179940E+000
  1.700000000000000E+003  2.677526668346904E-005  2.116327438401824E+000
  1.800000000000000E+003  3.026216039403562E-005  2.118397332555406E+000
  1.900000000000000E+003  3.390616981599220E-005  2.120362600642714E+000
  2.000000000000000E+003  3.769747199875450E-005  2.122233738961325E+000
  2.100000000000000E+003  4.162671817691025E-005  2.124019506803972E+000
