! time                    void_density            void_size               
  6.000000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  6.500000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  7.000000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  7.500000000000001E+000  0.000000000000000E+000  0.000000000000000E+000
  8.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  8.500000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  9.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  9.500000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.200000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.300000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.400000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.500000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.600000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.700000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.800000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.900000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  2.000000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  2.200000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  2.400000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  2.600000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  2.800000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  3.000000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  3.200000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  3.400000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  3.600000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  3.800000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  4.000000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  4.500000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  5.000000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  5.500000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  6.000000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  6.500000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  7.000000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  7.500000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  8.000000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  8.500000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  9.000000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  9.500000000000000E+001  0.000000000000000E+000  0.000000000000000E+000
  1.000000000000000E+002  9.263779778211493E-145  0.000000000000000E+000
  1.100000000000000E+002  1.238955956717127E-105  0.000000000000000E+000
  1.200000000000000E+002  1.356398776804535E-104  0.000000000000000E+000
  1.300000000000000E+002  9.316827506300701E-104  0.000000000000000E+000
  1.400000000000000E+002  5.524850337443631E-103  0.000000000000000E+000
  1.500000000000000E+002  3.048738661336778E-102  0.000000000000000E+000
  1.600000000000000E+002  1.634290690264666E-101  0.000000000000000E+000
  1.700000000000000E+002  8.959763704095494E-101  0.000000000000000E+000
  1.800000000000000E+002  5.342406556998129E-100  0.000000000000000E+000
  1.900000000000000E+002  3.574563794803093E-099  0.000000000000000E+000
  2.000000000000000E+002  2.634968956632864E-098  0.000000000000000E+000
  2.100000000000000E+002  2.011298904870915E-097  0.000000000000000E+000
  2.200000000000000E+002  1.510772730387778E-096  0.000000000000000E+000
  2.400000000000000E+002  1.574012966814557E-076  0.000000000000000E+000
  2.600000000000000E+002 -5.721074362186446E-077  0.000000000000000E+000
  2.800000000000000E+002  1.528190888603870E-075  0.000000000000000E+000
  3.000000000000000E+002  2.214631652933132E-074  0.000000000000000E+000
  3.200000000000000E+002  2.798382393098568E-073  0.000000000000000E+000
  3.400000000000000E+002  3.085601339098700E-072  0.000000000000000E+000
  3.600000000000000E+002  2.948806058952938E-071  0.000000000000000E+000
  3.800000000000000E+002  2.474295770775228E-070  0.000000000000000E+000
  4.000000000000000E+002  1.852222526339889E-069  0.000000000000000E+000
  4.200000000000000E+002  1.254253351602962E-068  0.000000000000000E+000
  4.400000000000000E+002  7.772398017801966E-068  0.000000000000000E+000
  4.600000000000000E+002  4.449748628336789E-067  0.000000000000000E+000
  4.800000000000000E+002  2.372205319163370E-066  0.000000000000000E+000
  5.000000000000000E+002  1.185435975629535E-065  0.000000000000000E+000
  5.200000000000000E+002  5.584065082223907E-065  0.000000000000000E+000
  5.400000000000000E+002  2.491496517771386E-064  0.000000000000000E+000
  5.600000000000000E+002  1.057349913664225E-063  0.000000000000000E+000
  5.800000000000000E+002  4.283595101577372E-063  0.000000000000000E+000
  6.000000000000000E+002  1.661968928853327E-062  0.000000000000000E+000
  6.500000000000000E+002  1.346552029237954E-051  0.000000000000000E+000
  7.000000000000000E+002  4.409907516519075E-050  0.000000000000000E+000
  7.500000000000000E+002  7.472873034380568E-049  0.000000000000000E+000
  8.000000000000000E+002  8.647391532932077E-048  0.000000000000000E+000
  8.500000000000000E+002  7.738164126498955E-047  0.000000000000000E+000
  9.000000000000000E+002  5.697459492070960E-046  0.000000000000000E+000
  9.500000000000000E+002  3.590888068439011E-045  0.000000000000000E+000
  1.000000000000000E+003  1.990769735460879E-044  0.000000000000000E+000
  1.050000000000000E+003  9.902227749268666E-044  0.000000000000000E+000
  1.100000000000000E+003  4.485876006823454E-043  0.000000000000000E+000
  1.150000000000000E+003  1.872637200433608E-042  0.000000000000000E+000
  1.200000000000000E+003  7.271632871041435E-042  0.000000000000000E+000
  1.250000000000000E+003  2.646789948586639E-041  0.000000000000000E+000
  1.300000000000000E+003  9.088497732275635E-041  0.000000000000000E+000
  1.350000000000000E+003  2.959997104940415E-040  0.000000000000000E+000
  1.400000000000000E+003  9.185775276718446E-040  0.000000000000000E+000
  1.450000000000000E+003  2.727028270890645E-039  0.000000000000000E+000
  1.500000000000000E+003  7.771647203605956E-039  0.000000000000000E+000
  1.550000000000000E+003  2.132564601815753E-038  0.000000000000000E+000
  1.600000000000000E+003  5.649624272089112E-038  0.000000000000000E+000
  1.650000000000000E+003  1.448433685587349E-037  0.000000000000000E+000
  1.700000000000000E+003  3.601332079442112E-037  0.000000000000000E+000
  1.800000000000000E+003  2.728348077715462E-035  0.000000000000000E+000
  1.900000000000000E+003  3.545603251179828E-034  0.000000000000000E+000
  2.000000000000000E+003  2.832226922771573E-033  0.000000000000000E+000
  2.100000000000000E+003  1.708597793468483E-032  0.000000000000000E+000
  2.200000000000000E+003  8.486781033025208E-032  0.000000000000000E+000
  2.300000000000000E+003  3.639466027496159E-031  0.000000000000000E+000
  2.400000000000000E+003  1.388376405511309E-030  0.000000000000000E+000
  2.500000000000000E+003  4.809052025194338E-030  0.000000000000000E+000
  2.600000000000000E+003  1.535215543070023E-029  0.000000000000000E+000
  2.700000000000000E+003  4.568196726973489E-029  0.000000000000000E+000
  2.800000000000000E+003  1.278280622774356E-028  0.000000000000000E+000
  2.900000000000000E+003  3.387620355354201E-028  0.000000000000000E+000
  3.000000000000000E+003  8.552099378897203E-028  0.000000000000000E+000
  3.100000000000000E+003  2.066615696675533E-027  0.000000000000000E+000
  3.200000000000000E+003  4.799850929318537E-027  0.000000000000000E+000
  3.300000000000000E+003  1.075202703214863E-026  0.000000000000000E+000
  3.400000000000000E+003  2.329987075989738E-026  0.000000000000000E+000
  3.500000000000000E+003  4.897272040736441E-026  0.000000000000000E+000
  3.600000000000000E+003  1.000668251023920E-025  0.000000000000000E+000
  3.700000000000000E+003  1.991785702109423E-025  0.000000000000000E+000
  3.800000000000000E+003  3.868969367415064E-025  0.000000000000000E+000
  3.900000000000000E+003  7.345961743149237E-025  0.000000000000000E+000
  4.000000000000000E+003  1.365312576430252E-024  0.000000000000000E+000
  4.100000000000000E+003  2.487216648819112E-024  2.009676336651068E+000
  4.200000000000000E+003  4.446395207572941E-024  2.009750046130471E+000
  4.300000000000000E+003  7.808790970543508E-024  2.009823257972413E+000
  4.400000000000000E+003  1.348554273804570E-023  2.009896006420549E+000
  4.500000000000000E+003  2.292205803088721E-023  2.009968322343743E+000
  4.600000000000000E+003  3.837948334684059E-023  2.010040233669410E+000
  4.700000000000000E+003  6.334851297426023E-023  2.010111765748817E+000
  4.800000000000000E+003  1.031505701847171E-022  2.010182941666919E+000
  4.900000000000000E+003  1.658013899181922E-022  2.010253782506618E+000
  5.000000000000000E+003  2.632382639873338E-022  2.010324307575354E+000
  5.100000000000000E+003  4.130463040113282E-022  2.010394534600331E+000
  5.200000000000000E+003  6.408629976841429E-022  2.010464479897497E+000
  5.300000000000000E+003  9.836964339402777E-022  2.010534158518443E+000
  5.400000000000000E+003  1.494463650138420E-021  2.010603584378599E+000
  5.500000000000000E+003  2.248144911433291E-021  2.010672770369565E+000
  5.600000000000000E+003  3.350061237581984E-021  2.010741728457846E+000
  5.700000000000000E+003  4.946920646673074E-021  2.010810469771982E+000
  5.800000000000000E+003  7.241448591076985E-021  2.010879004679624E+000
  5.900000000000000E+003  1.051162589270610E-020  2.010947342855974E+000
  6.000000000000000E+003  1.513580996102639E-020  2.011015493344695E+000
  6.100000000000000E+003  2.162531993374886E-020  2.011083464612275E+000
  6.200000000000000E+003  3.066643234194524E-020  2.011151264596678E+000
  6.300000000000000E+003  4.317417075486847E-020  2.011218900750980E+000
  6.400000000000000E+003  6.036079152216052E-020  2.011286380082619E+000
  6.500000000000000E+003  8.382248031685636E-020  2.011353709188727E+000
  6.600000000000000E+003  1.156484940659855E-019  2.011420894288082E+000
  6.700000000000000E+003  1.585578247284148E-019  2.011487941249981E+000
  6.800000000000000E+003  2.160694413025956E-019  2.011554855620430E+000
  6.900000000000000E+003  2.927133018942979E-019  2.011621642645933E+000
  7.000000000000000E+003  3.942906375704592E-019  2.011688307295127E+000
  7.100000000000000E+003  5.281935144718246E-019  2.011754854278518E+000
  7.200000000000000E+003  7.037954021516163E-019  2.011821288066466E+000
  7.300000000000000E+003  9.329264377505105E-019  2.011887612905666E+000
  7.400000000000000E+003  1.230449302309480E-018  2.011953832834214E+000
  7.500000000000000E+003  1.614954143644986E-018  2.012019951695423E+000
  7.600000000000000E+003  2.109593817604821E-018  2.012085973150530E+000
  7.700000000000000E+003  2.743083905442382E-018  2.012151900690355E+000
  7.800000000000000E+003  3.550895530108754E-018  2.012217737646058E+000
  7.900000000000000E+003  4.576672970378324E-018  2.012283487199034E+000
  8.000000000000000E+003  5.873912492022944E-018  2.012349152390073E+000
  8.100000000000000E+003  7.507943713984321E-018  2.012414736127787E+000
  8.200000000000000E+003  9.558260239935542E-018  2.012480241196452E+000
  8.300000000000000E+003  1.212125224794275E-017  2.012545670263230E+000
  8.400000000000000E+003  1.531340028008215E-017  2.012611025884889E+000
  8.500000000000000E+003  1.927499664741196E-017  2.012676310514032E+000
  8.600000000000000E+003  2.417446870170135E-017  2.012741526504886E+000
  8.700000000000000E+003  3.021338676215749E-017  2.012806676118678E+000
  8.800000000000000E+003  3.763224876159410E-017  2.012871761528655E+000
  8.900000000000000E+003  4.671714373055595E-017  2.012936784824747E+000
  9.000000000000000E+003  5.780740710814069E-017  2.013001748017923E+000
  9.100000000000000E+003  7.130439259253773E-017  2.013066653044253E+000
  9.200000000000000E+003  8.768149785992637E-017  2.013131501768707E+000
  9.300000000000000E+003  1.074955950238476E-016  2.013196295988702E+000
  9.400000000000000E+003  1.314000312139964E-016  2.013261037437432E+000
  9.500000000000000E+003  1.601593801578955E-016  2.013325727786967E+000
  9.600000000000000E+003  1.946661421840250E-016  2.013390368651182E+000
  9.700000000000000E+003  2.359596076620399E-016  2.013454961588488E+000
  9.800000000000000E+003  2.852471175842471E-016  2.013519508104397E+000
  9.900000000000000E+003  3.439279748001016E-016  2.013584009653942E+000
  1.000000000000000E+004  4.136202803675208E-016  2.013648467643945E+000
