 time    0.0000000000000000     
           2   4  2.201303167582507E-006
           3   4  1.499505196808534E-006
           4   4  1.110030474017646E-006
 time    2.5000000000000001E-004
           1   4  3.843937976330955E-006
           2   4  2.260404284390997E-006
           3   4  1.583856545033024E-006
           4   4  1.198540921499706E-006
 time    3.0000000000000003E-004
           1   4  3.842465544568893E-006
           2   4  2.292063620462755E-006
           3   4  1.638543795897548E-006
           4   4  1.260923189418022E-006
 time    4.0000000000000002E-004
           1   4  3.831188789586939E-006
           2   4  2.312673655687117E-006
           3   4  1.689882817101675E-006
           4   4  1.327064531869163E-006
 time    5.0000000000000001E-004
           1   4  3.817995264984636E-006
           2   4  2.316692843638145E-006
           3   4  1.712844252329172E-006
           4   4  1.360351436682632E-006
 time    6.0000000000000006E-004
           1   4  3.804428657383551E-006
           2   4  2.314275617355869E-006
           3   4  1.721929890450454E-006
           4   4  1.375300655311445E-006
 time    8.0000000000000004E-004
           1   4  3.777423419354591E-006
           2   4  2.303277966161800E-006
           3   4  1.722098899124505E-006
           4   4  1.377083007078771E-006
 time    1.0000000000000000E-003
           1   4  3.750867282203284E-006
           2   4  2.290912580848979E-006
           3   4  1.716403268432280E-006
           4   4  1.368281781469498E-006
 time    1.5000000000000000E-003
           1   4  3.686765751540324E-006
           2   4  2.259755263819784E-006
           3   4  1.696188287273477E-006
           4   4  1.334612528205310E-006
 time    2.0000000000000000E-003
           1   4  3.625450825478788E-006
           2   4  2.229531027835050E-006
           3   4  1.675025181774816E-006
           4   4  1.300436953918849E-006
 time    3.0000000000000001E-003
           1   4  3.510963306966959E-006
           2   4  2.172257369891864E-006
           3   4  1.632972309024119E-006
           4   4  1.237321860028418E-006
 time    4.0000000000000001E-003
           1   4  3.405416939238625E-006
           2   4  2.118440205586004E-006
           3   4  1.591927918765628E-006
           4   4  1.180746795376058E-006
 time    5.0000000000000001E-003
           1   4  3.307724016824343E-006
           2   4  2.067712231936543E-006
           3   4  1.552234515347309E-006
           4   4  1.129899094058013E-006
 time    6.0000000000000001E-003
           1   4  3.216933404017360E-006
           2   4  2.019754547511049E-006
           3   4  1.514056887235118E-006
           4   4  1.083937653213343E-006
 time    8.0000000000000002E-003
           1   4  3.053899272024166E-006
           2   4  1.931647549460006E-006
           3   4  1.442885305215893E-006
           4   4  1.004565057557652E-006
 time    1.0000000000000000E-002
           1   4  2.910081863521374E-006
           2   4  1.851815477091512E-006
           3   4  1.377762044659730E-006
           4   4  9.375472478905781E-007
 time    1.2000000000000000E-002
           1   4  2.781988720794076E-006
           2   4  1.779119866315739E-006
           3   4  1.318330573982153E-006
           4   4  8.802201074741097E-007
 time    1.4000000000000000E-002
           1   4  2.666933537212329E-006
           2   4  1.712610506248836E-006
           3   4  1.264055304796958E-006
           4   4  8.305598520372966E-007
 time    1.6000000000000000E-002
           1   4  2.562843232736240E-006
           2   4  1.651507274839068E-006
           3   4  1.214388926597077E-006
           4   4  7.870747869697085E-007
 time    1.8000000000000002E-002
           1   4  2.468086574471017E-006
           2   4  1.595159687757071E-006
           3   4  1.168820803508786E-006
           4   4  7.486429581758129E-007
 time    2.0000000000000004E-002
           1   4  2.381358088854440E-006
           2   4  1.543019130838749E-006
           3   4  1.126892420600243E-006
           4   4  7.144034185298845E-007
 time    2.5000000000000005E-002
           1   4  2.194597945029613E-006
           2   4  1.429061822837240E-006
           3   4  1.036205403833083E-006
           4   4  6.436657878846504E-007
 time    3.0000000000000006E-002
           1   4  2.039031117712702E-006
           2   4  1.332566424452873E-006
           3   4  9.604696566881539E-007
           4   4  5.876140660765201E-007
 time    3.5000000000000003E-002
           1   4  1.907065042899019E-006
           2   4  1.249761250527141E-006
           3   4  8.963192778249899E-007
           4   4  5.420579582727233E-007
 time    4.0000000000000001E-002
           1   4  1.793438711888343E-006
           2   4  1.177858284867919E-006
           3   4  8.412644698666228E-007
           4   4  5.042512466158029E-007
 time    4.4999999999999998E-002
           1   4  1.694395231045283E-006
           2   4  1.114784482866240E-006
           3   4  7.934756523953429E-007
           4   4  4.723431072942040E-007
 time    4.9999999999999996E-002
           1   4  1.607169475785597E-006
           2   4  1.058967074905548E-006
           3   4  7.515835984118061E-007
           4   4  4.450380791790873E-007
 time    5.4999999999999993E-002
           1   4  1.529674679197310E-006
           2   4  1.009191031525207E-006
           3   4  7.145448717737039E-007
