! time                    visible_loop_density    visible_loop_diameter   
  1.000000000000000E+002  5.752622829698612E-006  1.096006952631227E+000
  1.100000000000000E+002  7.134413432203283E-006  1.098819081010277E+000
  1.200000000000000E+002  8.668298597678370E-006  1.101510376029920E+000
  1.300000000000000E+002  1.035393562736660E-005  1.104097577572319E+000
  1.400000000000000E+002  1.219051163704465E-005  1.106593199424416E+000
  1.500000000000000E+002  1.417680614941994E-005  1.109006972766908E+000
  1.600000000000000E+002  1.631124608953568E-005  1.111346704502002E+000
  1.700000000000000E+002  1.859195447612313E-005  1.113618815164521E+000
  1.800000000000000E+002  2.101679377509614E-005  1.115828691474109E+000
  1.900000000000000E+002  2.358340464496058E-005  1.117980926432187E+000
  2.000000000000000E+002  2.628924064911939E-005  1.120079488479559E+000
  2.100000000000000E+002  2.913159938774703E-005  1.122127844240715E+000
  2.200000000000000E+002  3.210765042231332E-005  1.124129049947795E+000
  2.300000000000000E+002  3.521446030440412E-005  1.126085821126185E+000
  2.400000000000000E+002  3.844901497868624E-005  1.128000586807135E+000
  2.500000000000000E+002  4.180823979508548E-005  1.129875532469786E+000
  2.600000000000000E+002  4.528901734139425E-005  1.131712634595093E+000
  2.700000000000000E+002  4.888820328300464E-005  1.133513688855408E+000
  2.800000000000000E+002  5.260264040764581E-005  1.135280333435749E+000
  2.900000000000000E+002  5.642917476401610E-005  1.137014076306564E+000
  2.950000000000000E+002  5.836985260974154E-005  1.137843828418338E+000
  3.000000000000000E+002  6.033755340300485E-005  1.138666959765676E+000
  3.010000000000000E+002  6.073216489162153E-005  1.138827041957031E+000
  3.020000000000000E+002  6.112784416110704E-005  1.138986901254905E+000
  3.030000000000000E+002  6.152458883434449E-005  1.139146527155990E+000
  3.035000000000000E+002  6.172322696083328E-005  1.139226026734463E+000
  3.040000000000000E+002  6.192213036994752E-005  1.139305470768517E+000
  3.045000000000000E+002  6.212129871499817E-005  1.139384859344047E+000
  3.050000000000000E+002  6.232073167444416E-005  1.139464190935731E+000
  3.055000000000000E+002  6.252042871227704E-005  1.139543468533746E+000
  3.056000000000000E+002  6.256037865544889E-005  1.139559281310979E+000
  3.058000000000000E+002  6.264032076907508E-005  1.139590918302206E+000
  3.060000000000000E+002  6.272030505919787E-005  1.139622546547759E+000
  3.065000000000000E+002  6.292052919100455E-005  1.139701713554752E+000
  3.070000000000000E+002  6.312101620112731E-005  1.139780825310833E+000
  3.075000000000000E+002  6.332176605123709E-005  1.139859881898477E+000
  3.080000000000000E+002  6.352277810041039E-005  1.139938883251578E+000
  3.081000000000000E+002  6.356299100870905E-005  1.139954641304411E+000
  3.082000000000000E+002  6.360321437634833E-005  1.139970397196257E+000
  3.084000000000000E+002  6.368370302768492E-005  1.140001920175051E+000
  3.086000000000000E+002  6.376423362991822E-005  1.140033434473325E+000
  3.088000000000000E+002  6.384480598225126E-005  1.140064940009907E+000
  3.090000000000000E+002  6.392542016051210E-005  1.140096436848822E+000
  3.095000000000000E+002  6.412721661048807E-005  1.140175273142118E+000
  3.100000000000000E+002  6.432927391949229E-005  1.140254054548821E+000
  3.105000000000000E+002  6.453159154898209E-005  1.140332781201145E+000
  3.110000000000000E+002  6.473416922531384E-005  1.140411452769753E+000
  3.111000000000000E+002  6.477469514894440E-005  1.140427145501059E+000
  3.112000000000000E+002  6.481523145865549E-005  1.140442836061045E+000
  3.114000000000000E+002  6.489634563765596E-005  1.140474228223839E+000
  3.116000000000000E+002  6.497750131414301E-005  1.140505611659748E+000
  3.118000000000000E+002  6.505869847384017E-005  1.140536986414564E+000
  3.120000000000000E+002  6.513993709124964E-005  1.140568352500162E+000
  3.125000000000000E+002  6.534329239563695E-005  1.140646860010034E+000
  3.130000000000000E+002  6.554690639752354E-005  1.140725313036027E+000
  3.131000000000000E+002  6.558763950652347E-005  1.140740962455999E+000
  3.132000000000000E+002  6.562838293805194E-005  1.140756609700275E+000
  3.134000000000000E+002  6.570991111957299E-005  1.140787914998197E+000
  3.136000000000000E+002  6.579148034450840E-005  1.140819211637671E+000
  3.138000000000000E+002  6.587309089051848E-005  1.140850499549610E+000
  3.140000000000000E+002  6.595474257685287E-005  1.140881778935630E+000
  3.145000000000000E+002  6.615912958686053E-005  1.140960068540739E+000
  3.146000000000000E+002  6.620001728528618E-005  1.140975685572222E+000
  3.148000000000000E+002  6.628183382051904E-005  1.141006930301198E+000
  3.150000000000000E+002  6.636369146393770E-005  1.141038166393256E+000
  3.155000000000000E+002  6.656859216108470E-005  1.141116347205246E+000
  3.156000000000000E+002  6.660958257235524E-005  1.141131942658640E+000
  3.158000000000000E+002  6.669160436158853E-005  1.141163144250830E+000
  3.160000000000000E+002  6.677366711602133E-005  1.141194337194456E+000
  3.165000000000000E+002  6.697907990724644E-005  1.141272409375077E+000
  3.170000000000000E+002  6.718474801730164E-005  1.141350427371415E+000
  3.171000000000000E+002  6.722589189884779E-005  1.141365990518626E+000
  3.172000000000000E+002  6.726704595236135E-005  1.141381551603490E+000
  3.174000000000000E+002  6.734939492227416E-005  1.141412684175555E+000
  3.176000000000000E+002  6.743178453452111E-005  1.141443807961176E+000
  3.178000000000000E+002  6.751421494875707E-005  1.141474923408813E+000
  3.180000000000000E+002  6.759668616761603E-005  1.141506030247765E+000
  3.185000000000000E+002  6.780311864344803E-005  1.141583885931936E+000
  3.190000000000000E+002  6.800980506738443E-005  1.141661687499955E+000
  3.195000000000000E+002  6.821674505667663E-005  1.141739435071908E+000
  3.200000000000000E+002  6.842393833387980E-005  1.141817128661952E+000
  3.201000000000000E+002  6.846538712891888E-005  1.141832627570420E+000
  3.202000000000000E+002  6.850684603812241E-005  1.141848124352862E+000
  3.204000000000000E+002  6.858980429647953E-005  1.141879128167648E+000
  3.206000000000000E+002  6.867280301597463E-005  1.141910123480689E+000
  3.208000000000000E+002  6.875584211842572E-005  1.141941110225932E+000
  3.210000000000000E+002  6.883892160695399E-005  1.141972088464552E+000
  3.215000000000000E+002  6.904687242239228E-005  1.142049620764229E+000
  3.220000000000000E+002  6.925507501549059E-005  1.142127099258075E+000
  3.225000000000000E+002  6.946352894767382E-005  1.142204524010336E+000
  3.230000000000000E+002  6.967223387116211E-005  1.142281895086882E+000
  3.235000000000000E+002  6.988118949040869E-005  1.142359212649669E+000
  3.236000000000000E+002  6.992299059348925E-005  1.142374637004890E+000
  3.238000000000000E+002  7.000663295602788E-005  1.142405495689824E+000
  3.240000000000000E+002  7.009031529640365E-005  1.142436345916989E+000
  3.245000000000000E+002  7.029977100627655E-005  1.142513556465938E+000
