 time    0.0000000000000000     
          -2   1  1.087684821731323E-006
          -1   1  5.355594731844617E-003
 time    1.2000000000000000E-002
          -5   1  1.509912246943747E-007
          -4   1  2.817207714139329E-007
          -3   1  5.676297412835444E-007
          -2   1  1.094826854555495E-006
          -1   1  6.328009070760287E-003
 time    1.4000000000000000E-002
          -5   1  1.511255731680721E-007
          -4   1  2.818694502742103E-007
          -3   1  5.678021621940847E-007
          -2   1  1.102908565331381E-006
          -1   1  7.275324283642677E-003
 time    1.6000000000000000E-002
          -5   1  1.512576235554846E-007
          -4   1  2.820148905730688E-007
          -3   1  5.679702638720965E-007
          -2   1  1.111863443685263E-006
          -1   1  8.199452545431236E-003
 time    1.8000000000000002E-002
          -5   1  1.513873998666803E-007
          -4   1  2.821571908295791E-007
          -3   1  5.681342487775696E-007
          -2   1  1.121632976510483E-006
          -1   1  9.102066515016584E-003
 time    2.0000000000000004E-002
          -5   1  1.515149379537449E-007
          -4   1  2.822964541471948E-007
          -3   1  5.682943083627342E-007
          -2   1  1.132165316232607E-006
          -1   1  9.984641070321900E-003
 time    2.5000000000000005E-002
          -5   1  1.518297085832621E-007
          -4   1  2.826370264591239E-007
          -3   1  5.686835865166232E-007
          -2   1  1.161103745973140E-006
          -1   1  1.208130356779097E-002
 time    3.0000000000000006E-002
          -5   1  1.521300377061655E-007
          -4   1  2.829594194525031E-007
          -3   1  5.690505045211089E-007
          -2   1  1.193870949251498E-006
          -1   1  1.408324958394474E-002
 time    3.5000000000000003E-002
          -5   1  1.524171795290878E-007
          -4   1  2.832654713261311E-007
          -3   1  5.693975828188317E-007
          -2   1  1.230017349416152E-006
          -1   1  1.600233276044085E-002
 time    4.0000000000000001E-002
          -5   1  1.526922329088358E-007
          -4   1  2.835567513519450E-007
          -3   1  5.697269233253969E-007
          -2   1  1.269174235050405E-006
          -1   1  1.784809874611713E-002
 time    4.4999999999999998E-002
          -5   1  1.529561582321787E-007
          -4   1  2.838345969062495E-007
          -3   1  5.700402789284338E-007
          -2   1  1.311035845134296E-006
          -1   1  1.962837083629701E-002
 time    4.9999999999999996E-002
          -5   1  1.532097974784823E-007
          -4   1  2.841001568959560E-007
          -3   1  5.703391301367644E-007
          -2   1  1.355344486011236E-006
          -1   1  2.134965462860220E-002
 time    5.4999999999999993E-002
          -5   1  1.534538916068706E-007
          -4   1  2.843544256284541E-007
          -3   1  5.706247408918312E-007
          -2   1  1.401879968022684E-006
          -1   1  2.301742706009860E-002
 time    5.9999999999999991E-002
          -5   1  1.536890957023855E-007
          -4   1  2.845982699180976E-007
          -3   1  5.708982007887845E-007
          -2   1  1.450451929958126E-006
          -1   1  2.463634844839883E-002
 time    6.9999999999999993E-002
          -5   1  1.541382282948680E-007
          -4   1  2.850604383304174E-007
          -3   1  5.714151258392095E-007
          -2   1  1.551729381511977E-006
          -1   1  2.770443796591877E-002
 time    7.9999999999999988E-002
          -5   1  1.545566713547066E-007
          -4   1  2.854877342075401E-007
          -3   1  5.718921446936577E-007
          -2   1  1.659378073600515E-006
          -1   1  3.062614537322481E-002
 time    8.9999999999999983E-002
          -5   1  1.549481005273590E-007
          -4   1  2.858846596852186E-007
          -3   1  5.723346498973345E-007
          -2   1  1.772539331213382E-006
          -1   1  3.341974233582173E-002
 time    9.9999999999999978E-002
          -5   1  1.553154641618574E-007
          -4   1  2.862548034416846E-007
          -3   1  5.727469175712394E-007
          -2   1  1.890507460412681E-006
          -1   1  3.609983676495647E-002
 time   0.10999999999999997     
          -5   1  1.556611864449621E-007
          -4   1  2.866010948778689E-007
          -3   1  5.731324175108696E-007
          -2   1  2.012695496994443E-006
          -1   1  3.867832402604129E-002
 time   0.11999999999999997     
          -5   1  1.559872946468295E-007
          -4   1  2.869259666223289E-007
          -3   1  5.734940157096135E-007
          -2   1  2.138608717268552E-006
          -1   1  4.116504518103707E-002
 time   0.13999999999999996     
          -5   1  1.565864588027713E-007
          -4   1  2.875184905542744E-007
          -3   1  5.741535533546764E-007
          -2   1  2.395862223221205E-006
          -1   1  4.582454268693484E-002
 time   0.15999999999999995     
          -5   1  1.571242167767113E-007
          -4   1  2.880457970819463E-007
          -3   1  5.747414832750498E-007
          -2   1  2.663814546851508E-006
          -1   1  5.021636416898390E-002
 time   0.17999999999999994     
          -5   1  1.576095825425200E-007
          -4   1  2.885182258122647E-007
          -3   1  5.752696792529190E-007
          -2   1  2.940416006955155E-006
          -1   1  5.437577021590215E-002
 time   0.19999999999999993     
          -5   1  1.580495412542242E-007
          -4   1  2.889437108755556E-007
          -3   1  5.757471978013904E-007
          -2   1  3.224034669286607E-006
          -1   1  5.833038726139125E-002
 time   0.21999999999999992     
          -5   1  1.584496797367532E-007
          -4   1  2.893285281795014E-007
          -3   1  5.761811548531894E-007
          -2   1  3.513343658376327E-006
          -1   1  6.210234305804449E-002
 time   0.23999999999999991     
          -5   1  1.588145735140475E-007
          -4   1  2.896777572675329E-007
          -3   1  5.765772700612805E-007
          -2   1  3.807241978930037E-006
          -1   1  6.570968602170908E-002
 time   0.25999999999999990     
          -5   1  1.591480426265838E-007
          -4   1  2.899955871946139E-007
          -3   1  5.769402265693257E-007
          -2   1  4.104799408218322E-006
          -1   1  6.916736329924600E-002
 time   0.27999999999999992     
          -5   1  1.594533275999376E-007
          -4   1  2.902855273565792E-007
          -3   1  5.772739188505503E-007
          -2   1  4.405217256381059E-006
          -1   1  7.248791510861603E-002
 time   0.29999999999999993     
          -5   1  1.597332138720851E-007
          -4   1  2.905505567411141E-007
          -3   1  5.775816278462016E-007
          -2   1  4.707799928937702E-006
          -1   1  7.568198100536251E-002
 time   0.34999999999999992     
          -5   1  1.603207141699743E-007
          -4   1  2.911060116693617E-007
          -3   1  5.782385763536739E-007
          -2   1  5.450840726703556E-006
          -1   1  8.299232037489009E-002
 time   0.39999999999999991     
          -5   1  1.608025303018519E-007
          -4   1  2.915598680148982E-007
          -3   1  5.787913078617794E-007
          -2   1  6.197514641595395E-006
          -1   1  8.972102217562927E-002
 time   0.44999999999999990     
          -5   1  1.611989461936018E-007
          -4   1  2.919327777365528E-007
          -3   1  5.792616996705652E-007
          -2   1  6.941395700951865E-006
          -1   1  9.593772818547888E-002
 time   0.49999999999999989     
          -5   1  1.615258400869561E-007
          -4   1  2.922405006835954E-007
          -3   1  5.796660953962798E-007
          -2   1  7.677231645087106E-006
          -1   1  1.016963115759450E-001
 time   0.54999999999999993     
          -5   1  1.617959052126026E-007
          -4   1  2.924953659135598E-007
          -3   1  5.800170144763409E-007
          -2   1  8.400663721460558E-006
          -1   1  1.070397224977217E-001
 time   0.59999999999999998     
          -5   1  1.620194273085352E-007
          -4   1  2.927071858635494E-007
          -3   1  5.803242168878592E-007
          -2   1  9.108050160792742E-006
          -1   1  1.120031386236704E-001
 time   0.65000000000000002     
          -5   1  1.622048188211223E-007
          -4   1  2.928838693497127E-007
          -3   1  5.805954126642391E-007
          -2   1  9.796350965365738E-006
          -1   1  1.166160804036340E-001
 time   0.70000000000000007     
          -5   1  1.623590042545516E-007
          -4   1  2.930318514474270E-007
