! time                    visible_loop_density    visible_loop_diameter   
  4.500000000000002E+000  1.048385664104708E-003  1.151465254936017E+000
  5.000000000000002E+000  1.202645171888657E-003  1.154310682095304E+000
  5.100000000000000E+000  1.233647858941719E-003  1.154804585510942E+000
  5.199999999999999E+000  1.264946066641381E-003  1.155293656697397E+000
  5.299999999999999E+000  1.296560988109947E-003  1.155779225267204E+000
  5.399999999999999E+000  1.328427419939939E-003  1.156257136103932E+000
  5.599999999999999E+000  1.393157601143244E-003  1.157205219802889E+000
  5.799999999999999E+000  1.458869787598900E-003  1.158122769501249E+000
  5.999999999999999E+000  1.525548317853680E-003  1.159011058492866E+000
  6.499999999999999E+000  1.698111560492631E-003  1.161196900893039E+000
  6.999999999999999E+000  1.876268466901506E-003  1.163211189450539E+000
  7.499999999999999E+000  2.059739777654109E-003  1.165077324143681E+000
  7.999999999999999E+000  2.248244021567644E-003  1.166815621863289E+000
  8.500000000000000E+000  2.441500810556703E-003  1.168443585607166E+000
  9.000000000000000E+000  2.639233805547193E-003  1.169976179647758E+000
  9.500000000000000E+000  2.841173301656736E-003  1.171426113740063E+000
  1.000000000000000E+001  3.047058351510235E-003  1.172804126918656E+000
  1.100000000000000E+001  3.472870198437547E-003  1.175496624463840E+000
  1.200000000000000E+001  3.910967419945796E-003  1.177973047013012E+000
  1.300000000000000E+001  4.359771640536751E-003  1.180276394049432E+000
  1.400000000000000E+001  4.817897312819925E-003  1.182437133999436E+000
  1.500000000000000E+001  5.284137365210035E-003  1.184477439850224E+000
  1.600000000000000E+001  5.757442961622563E-003  1.186413846432185E+000
  1.700000000000000E+001  6.236903318512271E-003  1.188258980159408E+000
  1.800000000000000E+001  6.721727198984972E-003  1.190022709616658E+000
  2.000000000000000E+001  7.708174858461805E-003  1.193492958062610E+000
  2.200000000000000E+001  8.707547382149147E-003  1.196674585169900E+000
  2.400000000000000E+001  9.716780717082464E-003  1.199612436400038E+000
  2.600000000000000E+001  1.073349281003566E-002  1.202340113813891E+000
  2.800000000000000E+001  1.175582204648845E-002  1.204883920192918E+000
  3.000000000000000E+001  1.278230350077350E-002  1.207265068159851E+000
  3.500000000000000E+001  1.536063958650928E-002  1.212938126776720E+000
  4.000000000000000E+001  1.794207148289721E-002  1.217769135029490E+000
  4.500000000000000E+001  2.052098860181229E-002  1.221960647467025E+000
  5.000000000000000E+001  2.309401781368448E-002  1.225649425919162E+000
  5.500000000000000E+001  2.565914439714724E-002  1.228932969526433E+000
  6.000000000000000E+001  2.821519194736534E-002  1.231883539162690E+000
  6.500000000000000E+001  3.076150891306928E-002  1.234556295530419E+000
  7.000000000000000E+001  3.329777533918138E-002  1.236994334721825E+000
  8.000000000000000E+001  3.832850384458829E-002  1.241421832075782E+000
  9.000000000000000E+001  4.331863377423407E-002  1.245203470605811E+000
  1.000000000000000E+002  4.826982514609101E-002  1.248495803248749E+000
  1.100000000000000E+002  5.318386899751704E-002  1.251407178876376E+000
  1.200000000000000E+002  5.806248725752407E-002  1.254015479822859E+000
  1.300000000000000E+002  6.290725699423497E-002  1.256378362330238E+000
  1.400000000000000E+002  6.771959186411194E-002  1.258539532099443E+000
  1.600000000000000E+002  7.721881843551615E-002  1.262499654126571E+000
  1.800000000000000E+002  8.660120495120398E-002  1.265948179749518E+000
  2.000000000000000E+002  9.587389673790128E-002  1.269018134231328E+000
  2.200000000000000E+002  1.050427942510370E-001  1.271799096626686E+000
  2.400000000000000E+002  1.141127998919766E-001  1.274353751087575E+000
  2.600000000000000E+002  1.230880521104618E-001  1.276727302697804E+000
  2.800000000000000E+002  1.319721136805842E-001  1.278953160369250E+000
  3.000000000000000E+002  1.407681130300900E-001  1.281056530142244E+000
  3.500000000000000E+002  1.622226639335415E-001  1.286151534784534E+000
  4.000000000000000E+002  1.831847198699843E-001  1.290727796052117E+000
  4.500000000000000E+002  2.036898364373837E-001  1.294921955632337E+000
  5.000000000000000E+002  2.237677515209431E-001  1.298821516425907E+000
  5.500000000000000E+002  2.434439615216024E-001  1.302485425025186E+000
  6.000000000000000E+002  2.627408601124245E-001  1.305955029416256E+000
  6.500000000000000E+002  2.816784854567237E-001  1.309260353085085E+000
  7.000000000000000E+002  3.002750042361113E-001  1.312423875251751E+000
  8.000000000000000E+002  3.361929368341246E-001  1.318605152883642E+000
  9.000000000000000E+002  3.709573145907999E-001  1.324319998260305E+000
  1.000000000000000E+003  4.046701587410987E-001  1.329654562760894E+000
  1.100000000000000E+003  4.374180122222921E-001  1.334670652879780E+000
  1.200000000000000E+003  4.692753667694263E-001  1.339414345405915E+000
  1.300000000000000E+003  5.003071716794976E-001  1.343921072929449E+000
  1.400000000000000E+003  5.305706394534859E-001  1.348218808148300E+000
  1.500000000000000E+003  5.601165766559891E-001  1.352330137144052E+000
  1.600000000000000E+003  5.889903978791660E-001  1.356273651256051E+000
  1.800000000000000E+003  6.442970627507965E-001  1.363894425770395E+000
  2.000000000000000E+003  6.974337559683017E-001  1.370945775842437E+000
  2.200000000000000E+003  7.486235110839101E-001  1.377519611701667E+000
  2.400000000000000E+003  7.980525746021240E-001  1.383685596607247E+000
  2.600000000000000E+003  8.458788277903999E-001  1.389497915394343E+000
  2.800000000000000E+003  8.922378103398121E-001  1.394999653226588E+000
  3.000000000000000E+003  9.372470902026409E-001  1.400225736286154E+000
  3.200000000000000E+003  9.810095234786597E-001  1.405204957404398E+000
  3.400000000000000E+003  1.023615752529646E+000  1.409961402926584E+000
  3.600000000000000E+003  1.065146163365337E+000  1.414515479489479E+000
  3.800000000000000E+003  1.105672446792037E+000  1.418884668092590E+000
  4.000000000000000E+003  1.145258861432534E+000  1.423084088559199E+000
  4.200000000000000E+003  1.183963267641879E+000  1.427126929565399E+000
  4.400000000000000E+003  1.221837982348615E+000  1.431024781557005E+000
  4.600000000000000E+003  1.258930491965275E+000  1.434787898266534E+000
  4.800000000000000E+003  1.295284051485271E+000  1.438425404867733E+000
  5.000000000000000E+003  1.330938191390996E+000  1.441945465641439E+000
  5.200000000000000E+003  1.365929149227571E+000  1.445355420491754E+000
  5.400000000000000E+003  1.400290239129138E+000  1.448661897191104E+000
  5.600000000000000E+003  1.434052169876865E+000  1.451870904492519E+000
  5.800000000000000E+003  1.467243319986671E+000  1.454987909998136E+000
  6.000000000000000E+003  1.499889976707385E+000  1.458017905763089E+000
  6.200000000000000E+003  1.532016544540871E+000  1.460965463942735E+000
  6.400000000000000E+003  1.563645727891135E+000  1.463834784289728E+000
  6.600000000000000E+003  1.594798691647810E+000  1.466629734928542E+000
  6.800000000000000E+003  1.625495202865237E+000  1.469353887545773E+000
  7.000000000000000E+003  1.655753756177214E+000  1.472010547911296E+000
  7.200000000000000E+003  1.685591685163154E+000  1.474602782471635E+000
  7.400000000000000E+003  1.715025261534001E+000  1.477133441620406E+000
  7.600000000000000E+003  1.744069783720216E+000  1.479605180142708E+000
  7.800000000000000E+003  1.772739656207585E+000  1.482020475244075E+000
  8.000000000000000E+003  1.801048460769694E+000  1.484381642505426E+000
  8.200000000000000E+003  1.829009020581778E+000  1.486690850049396E+000
  8.400000000000000E+003  1.856633458062673E+000  1.488950131157829E+000
  8.600000000000000E+003  1.883933247175607E+000  1.491161395542948E+000
  8.800000000000000E+003  1.910919260820445E+000  1.493326439443908E+000
  9.000000000000000E+003  1.937601813866665E+000  1.495446954695060E+000
  9.200000000000000E+003  1.963990702305537E+000  1.497524536891053E+000
  9.400000000000000E+003  1.990095238939299E+000  1.499560692756260E+000
  9.600000000000000E+003  2.015924285973285E+000  1.501556846811110E+000
  9.800000000000000E+003  2.041486284832269E+000  1.503514347415468E+000
  1.000000000000000E+004  2.066789283483812E+000  1.505434472258528E+000
  1.020000000000000E+004  2.091840961518113E+000  1.507318433355755E+000
  1.040000000000000E+004  2.116648653204986E+000  1.509167381605691E+000
  1.060000000000000E+004  2.141219368723551E+000  1.510982410952877E+000
  1.080000000000000E+004  2.165559813738275E+000  1.512764562197519E+000
  1.100000000000000E+004  2.189676407475956E+000  1.514514826487650E+000
  1.120000000000000E+004  2.213575299441504E+000  1.516234148525341E+000
  1.140000000000000E+004  2.237262384895697E+000  1.517923429514882E+000
  1.160000000000000E+004  2.260743319205114E+000  1.519583529877705E+000
  1.180000000000000E+004  2.284023531163173E+000  1.521215271756020E+000
  1.200000000000000E+004  2.307108235371066E+000  1.522819441324795E+000
  1.220000000000000E+004  2.330002443758504E+000  1.524396790929549E+000
  1.240000000000000E+004  2.352710976316323E+000  1.525948041065600E+000
  1.260000000000000E+004  2.375238471105964E+000  1.527473882212784E+000
  1.280000000000000E+004  2.397589393604644E+000  1.528974976538215E+000
  1.300000000000000E+004  2.419768045439426E+000  1.530451959478397E+000
  1.320000000000000E+004  2.441778572558481E+000  1.531905441210888E+000
  1.340000000000000E+004  2.463624972883371E+000  1.533336008024675E+000
  1.360000000000000E+004  2.485311103482235E+000  1.534744223597586E+000
  1.380000000000000E+004  2.506840687300147E+000  1.536130630188256E+000
  1.400000000000000E+004  2.528217319479744E+000  1.537495749749447E+000
  1.420000000000000E+004  2.549444473302358E+000  1.538840084968904E+000
  1.440000000000000E+004  2.570525505777226E+000  1.540164120243385E+000
  1.460000000000000E+004  2.591463662904075E+000  1.541468322590959E+000
  1.480000000000000E+004  2.612262084632227E+000  1.542753142506244E+000
  1.500000000000000E+004  2.632923809537420E+000  1.544019014762849E+000
  1.520000000000000E+004  2.653451779235911E+000  1.545266359166879E+000
  1.540000000000000E+004  2.673848842553709E+000  1.546495581265098E+000
  1.560000000000000E+004  2.694117759467488E+000  1.547707073010968E+000
  1.580000000000000E+004  2.714261204832343E+000  1.548901213391586E+000
  1.600000000000000E+004  2.734281771910396E+000  1.550078369018229E+000
  1.620000000000000E+004  2.754181975713218E+000  1.551238894683048E+000
  1.640000000000000E+004  2.773964256169958E+000  1.552383133884216E+000
  1.660000000000000E+004  2.793630981132278E+000  1.553511419321668E+000
